<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20201113,210500,118.961,119.07,118.92,118.93,734155,0
AAPL.US,5,20201113,211000,118.935,119,118.8,118.995,659885,0
AAPL.US,5,20201113,211500,118.995,119.02,118.81,118.965,610960,0
AAPL.US,5,20201113,212000,118.96,118.97,118.82,118.915,206642,0
AAPL.US,5,20201113,213500,119.281,119.49,119.28,119.341,901197,0
AAPL.US,5,20201113,214000,119.35,119.5,119.34,119.47,1066942,0
AAPL.US,5,20201113,214500,119.472,119.57,119.305,119.325,1311263,0
AAPL.US,5,20201113,215000,119.325,119.495,119.21,119.24,1499127,0
AAPL.US,5,20201113,215500,119.23,119.43,119.15,119.41,3708225,0
AAPL.US,5,20201116,153000,118.92,119.15,118.146,118.26,3978210,0
AAPL.US,5,20201116,153500,118.27,119.39,118.19,119.23,1324984,0
AAPL.US,5,20201116,154000,119.24,119.93,119.24,119.924,1538658,0
AAPL.US,5,20201116,154500,119.93,120.14,119.73,119.977,2275481,0
AAPL.US,5,20201116,155000,119.975,120.01,119.45,119.51,1058151,0
AAPL.US,5,20201116,155500,119.535,119.94,119.43,119.93,981868,0
AAPL.US,5,20201116,160000,119.95,120.41,119.801,120.26,1757111,0
AAPL.US,5,20201116,160500,120.26,120.37,119.96,120.19,1095361,0
AAPL.US,5,20201116,161000,120.2,120.26,119.82,120.105,1076764,0
AAPL.US,5,20201116,161500,120.12,120.32,120.07,120.14,1042450,0
AAPL.US,5,20201116,162000,120.13,120.47,119.97,120.421,1099315,0
AAPL.US,5,20201116,162500,120.43,120.72,120.42,120.46,1715783,0
AAPL.US,5,20201116,163000,120.485,120.591,120.42,120.575,863866,0
AAPL.US,5,20201116,163500,120.572,120.67,120.3,120.47,988809,0
AAPL.US,5,20201116,164000,120.466,120.57,120.335,120.459,853704,0
AAPL.US,5,20201116,164500,120.455,120.47,120.13,120.236,791369,0
AAPL.US,5,20201116,165000,120.24,120.58,120.235,120.54,815600,0
AAPL.US,5,20201116,165500,120.545,120.69,120.43,120.679,782840,0
AAPL.US,5,20201116,170000,120.68,120.83,120.581,120.76,1245631,0
AAPL.US,5,20201116,170500,120.757,120.76,120.48,120.61,801549,0
